capitulo,articulo,concepto,subconcepto,denominacion
1,,,,GASTOS DE PERSONAL.
,10,,,Órganos de gobierno y personal directivo.
,,100,,Retribuciones básicas y otras remuneraciones de los miembros de los órganos de gobierno.
,,,100.00,Retribuciones básicas.
,,,100.01,Otras remuneraciones.
,,101,,Retribuciones básicas y otras remuneraciones del personal directivo.
,,,101.00,Retribuciones básicas.
,,,101.01,Otras remuneraciones.
,,107,,Contribuciones a planes y fondos de pensiones.
,,,107.00,De los miembros de los órganos de gobierno.
,,,107.01,Del personal directivo.
,11,,,Personal eventual.
,,110,,Retribuciones básicas y otras remuneraciones de personal eventual.
,,,110.00,Retribuciones básicas.
,,,110.01,Retribuciones complementarias.
,,,110.02,Otras remuneraciones.
,,117,,Contribuciones a planes y fondos de pensiones.
,12,,,Personal Funcionario.
,,120,,Retribuciones básicas.
,,,120.00,Sueldos del Grupo A1.
,,,120.01,Sueldos del Grupo A2.
,,,120.02,Sueldos del Grupo B.
,,,120.03,Sueldos del Grupo C1.
,,,120.04,Sueldos del Grupo C2.
,,,120.05,Sueldos del Grupo E.
,,,120.06,Trienios.
,,,120.09,Otras retribuciones básicas.
,,121,,Retribuciones complementarias.
,,,121.00,Complemento de destino.
,,,121.01,Complemento específico.
,,,121.03,Otros complementos.
,,122,,Retribuciones en especie.
,,124,,Retribuciones de funcionarios en prácticas (mismo desglose que 120).
,,127,,Contribuciones a planes y fondos de pensiones.
,13,,,Personal Laboral.
,,130,,Laboral Fijo.
,,,130.00,Retribuciones básicas.
,,,130.01,Horas extraordinarias
,,,130.02,Otras remuneraciones.
,,131,,Laboral temporal.
,,132,,Retribuciones en especie.
,,137,,Contribuciones a planes y fondos de pensiones.
,14,,,Otro personal.
,,143,,Otro personal.
,,147,,Contribuciones a planes y fondos de pensiones.
,,,,Incentivos al rendimiento.
,,150,,Productividad.
,,151,,Gratificaciones.
,,152,,Otros incentivos al rendimiento.
,,153,,Complemento de dedicación especial.
,16,,,"Cuotas, prestaciones y gastos sociales a cargo del empleador."
,,160,,Cuotas sociales.
,,,160.00,Seguridad Social.
,,,160.08,Asistencia médico-farmacéutica.
,,,160.09,Otras cuotas.
,,161,,Prestaciones sociales.
,,,161.03,Pensiones excepcionales.
,,,161.04,Indemnizaciones al personal laboral por jubilaciones anticipadas.
,,,161.05,Pensiones a cargo de la Entidad local.
,,,161.07,Asistencia médico-farmacéutica a pensionistas.
,,162,,Gastos sociales del personal.
,,,162.00,Formación y perfeccionamiento del personal.
,,,162.01,Economatos y comedores.
,,,162.02,Transporte de personal.
,,,162.04,Acción social.
,,,162.05,Seguros.
,,,162.09,Otros gastos sociales.
,,164,,Complemento familiar.
2,,,,GASTOS CORRIENTES EN BIENES Y SERVICIOS.
,20,,,Arrendamientos y cánones.
,,200,,Arrendamientos de terrenos y bienes naturales.
,,202,,Arrendamientos de edificios y otras construcciones.
,,203,,"Arrendamientos de maquinaria, instalaciones y utillaje."
,,204,,Arrendamientos de material de transporte.
,,205,,Arrendamientos de mobiliario y enseres.
,,206,,Arrendamientos de equipos para procesos de información.
,,208,,Arrendamientos de otro inmovilizado material.
,,209,,Cánones.
,21,,,"Reparaciones, mantenimiento y conservación."
,,210,,Infraestructuras y bienes naturales.
,,212,,Edificios y otras construcciones.
,,213,,"Maquinaria, instalaciones técnicas y utillaje."
,,214,,Elementos de transporte.
,,215,,Mobiliario.
,,216,,Equipos para procesos de información.
,,219,,Otro inmovilizado material.
,22,,,"Material, suministros y otros."
,,220,,Material de oficina.
,,,220.00,Ordinario no inventariable.
,,,220.01,"Prensa, revistas, libros y otras publicaciones."
,,,220.02,Material informático no inventariable.
,,221,,Suministros.
,,,221.00,Energía eléctrica.
,,,221.01,Agua.
,,,221.02,Gas.
,,,221.03,Combustibles y carburantes.
,,,221.04,Vestuario.
,,,221.05,Productos alimenticios.
,,,221.06,Productos farmacéuticos y material sanitario.
,,,221.10,Productos de limpieza y aseo.
,,,221.11,"Suministros de repuestos de maquinaria, utillaje y elementos de transporte."
,,,221.12,"Suministros de material electrónico, eléctrico y de telecomunicaciones."
,,,221.13,Manutención de animales.
,,,221.99,Otros suministros.
,,222,,Comunicaciones.
,,,222.00,Servicios de Telecomunicaciones.
,,,222.01,Postales.
,,,222.02,Telegráficas.
,,,222.03,Informáticas.
,,,222.99,Otros gastos en comunicaciones.
,,223,,Transportes.
,,224,,Primas de seguros.
,,225,,Tributos.
,,,225.00,Tributos estatales.
,,,225.01,Tributos de las Comunidades Autónomas.
,,,225.02,Tributos de las Entidades locales.
,,226,,Gastos diversos.
,,,226.01,Atenciones protocolarias y representativas.
,,,226.02,Publicidad y propaganda.
,,,226.03,Publicación en Diarios Oficiales.
,,,226.04,"Jurídicos, contenciosos."
,,,226.06,"Reuniones, conferencias y cursos."
,,,226.07,Oposiciones y pruebas selectivas.
,,,226.09,Actividades culturales y deportivas.
,,,226.99,Otros gastos diversos.
,,227,,Trabajos realizados por otras empresas y profesionales.
,,,227.00,Limpieza y aseo.
,,,227.01,Seguridad.
,,,227.02,Valoraciones y peritajes.
,,,227.04,"Custodia, depósito y almacenaje."
,,,227.05,Procesos electorales.
,,,227.06,Estudios y trabajos técnicos.
,,,227.08,Servicios de recaudación a favor de la entidad.
,,,227.99,Otros trabajos realizados por otras empresas y profesionales.
,23,,,Indemnizaciones por razón del servicio.
,,230,,Dietas.
,,,230.00,De los miembros de los órganos de gobierno.
,,,230.10,Del personal directivo.
,,,230.20,Del personal no directivo.
,,231,,Locomoción.
,,,231.00,De los miembros de los órganos de gobierno.
,,,231.10,Del personal directivo.
,,,231.20,Del personal no directivo.
,,233,,Otras indemnizaciones.
,24,,,Gastos de publicaciones.
,,240,,Gastos de edición y distribución.
,25,,,Trabajos realizados por administraciones públicas y otras entidades públicas.
,26,,,Trabajos realizados por Instituciones sin fines de lucro.
3,,,,GASTOS FINANCIEROS.
,30,,,De Deuda Pública en euros.
,,300,,Intereses.
,,301,,"Gastos de emisión, modificación y cancelación."
,,309,,Otros gastos financieros de Deuda Pública en euros.
,31,,,De préstamos y otras operaciones financieras en euros.
,31,310,,Intereses.
,,311,,"Gastos de formalización, modificación y cancelación."
,,319,,Otros gastos financieros de préstamos y otras operaciones financieras en euros.
,32,,,De deuda pública en moneda distinta del euro.
,,320,,Intereses.
,,321,,"Gastos de emisión, modificación y cancelación."
,,322,,Diferencias de cambio.
,,329,,Otros gastos financieros de Deuda Pública en moneda distinta del euro.
