capitulo,capitulo1,articulo,articulo1,concepto,concepto1,subconcepto,denominacion
 ,1,,,,,,GASTOS DE PERSONAL.
1,,10,10,,,,Órganos de gobierno y personal directivo.
,,10,,100,100,,Retribuciones básicas y otras remuneraciones de los miembros de los órganos de gobierno.
,,,,100,,100.00,Retribuciones básicas.
,,,,100,,100.01,Otras remuneraciones.
,,10,,101,101,,Retribuciones básicas y otras remuneraciones del personal directivo.
,,,,101,,101.00,Retribuciones básicas.
,,,,101,,101.01,Otras remuneraciones.
,,10,,107,107,,Contribuciones a planes y fondos de pensiones.
,,,,107,,107.00,De los miembros de los órganos de gobierno.
,,,,107,,107.01,Del personal directivo.
1,,11,11,,,,Personal eventual.
,,11,,110,110,,Retribuciones básicas y otras remuneraciones de personal eventual.
,,,,110,,110.00,Retribuciones básicas.
,,,,110,,110.01,Retribuciones complementarias.
,,,,110,,110.02,Otras remuneraciones.
,,11,,117,117,,Contribuciones a planes y fondos de pensiones.
1,,12,,,,,Personal Funcionario.
,,12,12,120,120,,Retribuciones básicas.
,,,,120,,120.00,Sueldos del Grupo A1.
,,,,120,,120.01,Sueldos del Grupo A2.
,,,,120,,120.02,Sueldos del Grupo B.
,,,,120,,120.03,Sueldos del Grupo C1.
,,,,120,,120.04,Sueldos del Grupo C2.
,,,,120,,120.05,Sueldos del Grupo E.
,,,,120,,120.06,Trienios.
,,,,120,,120.09,Otras retribuciones básicas.
,,12,,121,121,,Retribuciones complementarias.
,,,,121,,121.00,Complemento de destino.
,,,,121,,121.01,Complemento específico.
,,,,121,,121.03,Otros complementos.
,,12,,122,122,,Retribuciones en especie.
,,12,,124,124,,Retribuciones de funcionarios en prácticas (mismo desglose que 120).
,,12,,127,127,,Contribuciones a planes y fondos de pensiones.
1,,13,13,,,,Personal Laboral.
,,13,,130,130,,Laboral Fijo.
,,,,130,,130.00,Retribuciones básicas.
,,,,130,,130.01,Horas extraordinarias
,,,,130,,130.02,Otras remuneraciones.
,,13,,131,131,,Laboral temporal.
,,13,,132,132,,Retribuciones en especie.
,,13,,137,137,,Contribuciones a planes y fondos de pensiones.
1,,14,14,,,,Otro personal.
,,14,,143,143,,Otro personal.
,,14,,147,147,,Contribuciones a planes y fondos de pensiones.
1,,15,15,,,,Incentivos al rendimiento.
,,15,,150,150,,Productividad.
,,15,,151,151,,Gratificaciones.
,,15,,152,152,,Otros incentivos al rendimiento.
,,15,,153,153,,Complemento de dedicación especial.
1,,16,16,,,,"Cuotas, prestaciones y gastos sociales a cargo del empleador."
,,16,,160,160,,Cuotas sociales.
,,,,160,,160.00,Seguridad Social.
,,,,160,,160.08,Asistencia médico-farmacéutica.
,,,,160,,160.09,Otras cuotas.
,,16,,161,161,,Prestaciones sociales.
,,,,161,,161.03,Pensiones excepcionales.
,,,,161,,161.04,Indemnizaciones al personal laboral por jubilaciones anticipadas.
,,,,161,,161.05,Pensiones a cargo de la Entidad local.
,,,,161,,161.07,Asistencia médico-farmacéutica a pensionistas.
,,16,,162,162,,Gastos sociales del personal.
,,,,162,,162.00,Formación y perfeccionamiento del personal.
,,,,162,,162.01,Economatos y comedores.
,,,,162,,162.02,Transporte de personal.
,,,,162,,162.04,Acción social.
,,,,162,,162.05,Seguros.
,,,,162,,162.09,Otros gastos sociales.
,,16,,164,164,,Complemento familiar.
 ,2,,,,,,GASTOS CORRIENTES EN BIENES Y SERVICIOS.
2,,20,20,,,,Arrendamientos y cánones.
,,20,,200,200,,Arrendamientos de terrenos y bienes naturales.
,,20,,202,202,,Arrendamientos de edificios y otras construcciones.
,,20,,203,203,,"Arrendamientos de maquinaria, instalaciones y utillaje."
,,20,,204,204,,Arrendamientos de material de transporte.
,,20,,205,205,,Arrendamientos de mobiliario y enseres.
,,20,,206,206,,Arrendamientos de equipos para procesos de información.
,,20,,208,208,,Arrendamientos de otro inmovilizado material.
,,20,,209,209,,Cánones.
2,,21,21,,,,"Reparaciones, mantenimiento y conservación."
,,21,,210,210,,Infraestructuras y bienes naturales.
,,21,,212,212,,Edificios y otras construcciones.
,,21,,213,213,,"Maquinaria, instalaciones técnicas y utillaje."
,,21,,214,214,,Elementos de transporte.
,,21,,215,215,,Mobiliario.
,,21,,216,216,,Equipos para procesos de información.
,,21,,219,219,,Otro inmovilizado material.
2,,22,22,,,,"Material, suministros y otros."
,,22,,220,220,,Material de oficina.
,,,,220,,220.00,Ordinario no inventariable.
,,,,220,,220.01,"Prensa, revistas, libros y otras publicaciones."
,,,,220,,220.02,Material informático no inventariable.
,,22,,221,221,,Suministros.
,,,,221,,221.00,Energía eléctrica.
,,,,221,,221.01,Agua.
,,,,221,,221.02,Gas.
,,,,221,,221.03,Combustibles y carburantes.
,,,,221,,221.04,Vestuario.
,,,,221,,221.05,Productos alimenticios.
,,,,221,,221.06,Productos farmacéuticos y material sanitario.
,,,,221,,221.10,Productos de limpieza y aseo.
,,,,221,,221.11,"Suministros de repuestos de maquinaria, utillaje y elementos de transporte."
,,,,221,,221.12,"Suministros de material electrónico, eléctrico y de telecomunicaciones."
,,,,221,,221.13,Manutención de animales.
,,,,221,,221.99,Otros suministros.
,,22,,222,222,,Comunicaciones.
,,,,222, ,222.00,Servicios de Telecomunicaciones.
,,,,222, ,222.01,Postales.
,,,,222, ,222.02,Telegráficas.
,,,,222, ,222.03,Informáticas.
,,,,222, ,222.99,Otros gastos en comunicaciones.
,,22,,223,223,,Transportes.
,,22,,224,224,,Primas de seguros.
,,22,,225,225,,Tributos.
,,,,225,,225.00,Tributos estatales.
,,,,225,,225.01,Tributos de las Comunidades Autónomas.
,,,,225,,225.02,Tributos de las Entidades locales.
,,22,,226,226,,Gastos diversos.
,,,,226,,226.01,Atenciones protocolarias y representativas.
,,,,226,,226.02,Publicidad y propaganda.
,,,,226,,226.03,Publicación en Diarios Oficiales.
,,,,226,,226.04,"Jurídicos, contenciosos."
,,,,226,,226.06,"Reuniones, conferencias y cursos."
,,,,226,,226.07,Oposiciones y pruebas selectivas.
,,,,226,,226.09,Actividades culturales y deportivas.
,,,,226,,226.99,Otros gastos diversos.
,,22,,227,227,,Trabajos realizados por otras empresas y profesionales.
,,,,227,,227.00,Limpieza y aseo.
,,,,227,,227.01,Seguridad.
,,,,227,,227.02,Valoraciones y peritajes.
,,,,227,,227.04,"Custodia, depósito y almacenaje."
,,,,227,,227.05,Procesos electorales.
,,,,227,,227.06,Estudios y trabajos técnicos.
,,,,227,,227.08,Servicios de recaudación a favor de la entidad.
,,,,227,,227.99,Otros trabajos realizados por otras empresas y profesionales.
2,,23,23,,,,Indemnizaciones por razón del servicio.
,,23,,230,230,,Dietas.
,,,,230,,230.00,De los miembros de los órganos de gobierno.
,,,,230,,230.10,Del personal directivo.
,,,,230,,230.20,Del personal no directivo.
,,23,,231,231,,Locomoción.
,,,,231,,231.00,De los miembros de los órganos de gobierno.
,,,,231,,231.10,Del personal directivo.
,,,,231,,231.20,Del personal no directivo.
,,23,,233,233,,Otras indemnizaciones.
2,,24,24,,,,Gastos de publicaciones.
,,24,,240,240,,Gastos de edición y distribución.
2,,25,25,,,,Trabajos realizados por administraciones públicas y otras entidades públicas.
2,,26,26,,,,Trabajos realizados por Instituciones sin fines de lucro.
 ,3,,,,,,GASTOS FINANCIEROS.
3,,30,30,,,,De Deuda Pública en euros.
,,30,,300,300,,Intereses.
,,30,,301,301,,"Gastos de emisión, modificación y cancelación."
,,30,,309,309,,Otros gastos financieros de Deuda Pública en euros.
3,,31,31,,,,De préstamos y otras operaciones financieras en euros.
,,31,,310,310,,Intereses.
,,31,,311,311,,"Gastos de formalización, modificación y cancelación."
,,31,,319,319,,Otros gastos financieros de préstamos y otras operaciones financieras en euros.
3,,32,32,,,,De deuda pública en moneda distinta del euro.
,,32,,320,320,,Intereses.
,,32,,321,321,,"Gastos de emisión, modificación y cancelación."
,,32,,322,322,,Diferencias de cambio.
,,32,,329,329,,Otros gastos financieros de Deuda Pública en moneda distinta del euro.
3,,33,33,,,,De préstamos y otras operaciones financieras en moneda distinta del euro.
,,33,,330,330,,Intereses.
,,33,,331,331,,"Gastos de formalización, modificación y cancelación."
,,33,,332,332,,Diferencias de cambio.
,,33,,339,339,,Otros gastos financieros de préstamos y otras operaciones financieras en moneda distinta del euro.
3,,34,34,,,,"De depósitos, fianzas y otros."
,,34,,340,340,,Intereses de depósitos.
,,34,,341,341,,Intereses de fianzas.
3,,35,35,,,,Intereses de demora y otros gastos financieros.
,,35,,352,352,,Intereses de demora.
,,35,,353,353,,Operaciones de intercambio financiero.
,,35,,357,357,,Ejecución de avales.
,,35,,358,358,,Intereses por operaciones de arrendamiento financiero («leasing»).
,,35,,359,359,,Otros gastos financieros.
 ,4,,,,,,TRANSFERENCIAS CORRIENTES.
4,,40,40,,,,A la Administración General de la Entidad Local.
4,,41,41,,,,A Organismos Autónomos de la Entidad Local.
4,,42,42,,,,A la Administración del Estado.
,,42,,420,420,,A la Administración General del Estado.
,,42,,421,421,,A Organismos Autónomos yAgencias estatales.
,,,,421,,421.00,Al Servicio Público de Empleo Estatal.
,,,,421,,421.10,A otros organismos autónomos.
,,42,,422,422,,A Fundaciones estatales.
,,42,,423,423,,"A sociedades mercantiles estatales, entidades públicas empresariales y otros organismos públicos."
,,,,423,,423.00,Subvenciones para fomento del empleo.
,,,,423,,423.10,Subvenciones para bonificación de intereses y primas de seguros.
,,,,423,,423.20,Subvenciones para reducir el precio a pagar por los consumidores.
,,,,423,,423.90,"Otras subvenciones a sociedades mercantiles estatales, entidades públicas empresariales y otros organismos públicos."
4,,43,43,,,,A la Seguridad Social.
4,,44,44,,,,A entes públicos y sociedades mercantiles de la Entidad Local.
,,44,,440,440,,Subvenciones para fomento del empleo.
,,44,,441,441,,Subvenciones para bonificación de intereses y primas de seguros.
,,44,,442,442,,Subvenciones para reducir el precio a pagar por los consumidores.
,,44,,449,449,,Otras subvenciones a entes públicos y sociedades mercantiles de la Entidad Local.
4,,45,45,,,,A Comunidades Autónomas.
