capitulo,articulo,concepto,subconcepto,labelEsp,labelEng,definitionEsp,definitionEng
1,,,,Impuestos directos.,,,
 ,10,,,Impuesto sobre la Renta.,,,
, ,100,,Impuestos sobre la Renta de las Personas Físicas.,,,
,,101,,Impuesto sobre Sociedades.,,,
, ,102,,Impuesto sobre la Renta de No Residentes.,,,
 ,11,,,Impuestos sobre el capital.,,,
, ,110,,Impuesto sobre Sucesiones y Donaciones.,,,
, ,111,,Impuesto sobre Patrimonio.,,,
, ,112,,Impuesto sobre Bienes Inmuebles. Bienes Inmuebles de Naturaleza Rústica.,,,
, ,113,,Impuesto sobre Bienes Inmuebles. Bienes inmuebles de Naturaleza Urbana.,,,
, ,114,,Impuesto sobre Bienes Inmuebles. Bienes Inmuebles de características especiales.,,,
, ,115,,Impuesto sobre Vehículos de Tracción Mecánica.,,,
, ,116,,Impuesto sobre Incremento del Valor de los Terrenos de Naturaleza Urbana.,,,
, ,117,,Impuesto sobre viviendas desocupadas.,,,
 ,13,,,Impuesto sobre las Actividades Económicas.,,,
, ,130,,Impuesto sobre Actividades Económicas.,,,
 ,16,,,Recargos sobre impuestos directos del Estado y de la Comunidad Autónoma.,,,
, ,160,,Sobre impuestos del Estado.,,,
, ,161,,Sobre impuestos de la Comunidad Autónoma.,,,
 ,17,,,Recargos sobre impuestos directos de otros entes locales.,,,
, ,170,,En el Impuesto sobre Bienes Inmuebles.,,,
, ,171,,Recargo provincial en el Impuesto sobre Actividades Económicas.,,,
, ,179,,Otros recargos sobre impuestos directos de otros entes locales.,,,
 ,18,,,Impuestos directos extinguidos.,,,
 ,19,,,Otros impuestos directos.,,,
2,,,,Impuestos indirectos.,,,
 ,21,,,Impuestos sobre el Valor Añadido.,,,
, ,210,,Impuesto sobre el Valor Añadido.,,,
 ,22,,,Sobre consumos específicos.,,,
, ,220,,Impuestos Especiales.,,,
,, ,22000,Impuesto sobre el alcohol y bebidas derivadas.,,,
,, ,22001,Impuesto sobre la cerveza.,,,
,, ,22002,Impuesto sobre el vino y bebidas fermentadas.,,,
,, ,22003,Impuesto sobre las labores del tabaco.,,,
,, ,22004,Impuesto sobre hidrocarburos.,,,
,, ,22005,Impuesto sobre determinados medios de transporte.,,,
,, ,22006,Impuesto sobre productos intermedios.,,,
,, ,22007,Impuesto sobre la energía.,,,
,, ,22008,Impuesto sobre ventas minoristas de hidrocarburos.,,,
,, ,22009,Exacción sobre la gasolina.,,,
 ,26,,,Recargos sobre impuestos indirectos del Estado y de la Comunidad Autónoma.,,,
, ,260,,Sobre impuestos del Estado.,,,
, ,261,,Sobre impuestos de la Comunidad Autónoma.,,,
 ,27,,,Recargos sobre impuestos indirectos de otros entes locales.,,,
, ,270,,Sobre impuestos de otros entes locales.,,,
 ,28,,,Impuestos indirectos extinguidos.,,,
 ,29,,,Otros impuestos indirectos.,,,
, ,290,,Impuesto sobre construcciones instalaciones y obras.,,,
, ,291,,Impuesto sobre gastos suntuarios (Cotos de caza y pesca).,,,
, ,292,,Arbitrio sobre importaciones y entregas de mercancías en Canarias (AIEM).,,,
, ,293,,Impuesto general indirecto canario (IGIC).,,,
