capitulo,articulo,concepto,subconcepto,denominacion
1,,,,Impuestos directos.
,10,,,Impuesto sobre la Renta.
,,100,,Impuestos sobre la Renta de las Personas Físicas.
,,101,,Impuesto sobre Sociedades.
,,102,,Impuesto sobre la Renta de No Residentes.
,11,,,Impuestos sobre el capital.
,,110,,Impuesto sobre Sucesiones y Donaciones.
,,111,,Impuesto sobre Patrimonio.
,,112,,Impuesto sobre Bienes Inmuebles. Bienes Inmuebles de Naturaleza Rústica.
,,113,,Impuesto sobre Bienes Inmuebles. Bienes inmuebles de Naturaleza Urbana.
,,114,,Impuesto sobre Bienes Inmuebles. Bienes Inmuebles de características especiales.
,,115,,Impuesto sobre Vehículos de Tracción Mecánica.
,,116,,Impuesto sobre Incremento del Valor de los Terrenos de Naturaleza Urbana.
,,117,,Impuesto sobre viviendas desocupadas.
,13,,,Impuesto sobre las Actividades Económicas.
,,130,,Impuesto sobre Actividades Económicas.
,16,,,Recargos sobre impuestos directos del Estado y de la Comunidad Autónoma.
,,160,,Sobre impuestos del Estado.
,,161,,Sobre impuestos de la Comunidad Autónoma.
,17,,,Recargos sobre impuestos directos de otros entes locales.
,,170,,En el Impuesto sobre Bienes Inmuebles.
,,171,,Recargo provincial en el Impuesto sobre Actividades Económicas.
,,179,,Otros recargos sobre impuestos directos de otros entes locales.
,18,,,Impuestos directos extinguidos.
,19,,,Otros impuestos directos.
2,,,,Impuestos indirectos.
,21,,,Impuestos sobre el Valor Añadido.
,,210,,Impuesto sobre el Valor Añadido.
,22,,,Sobre consumos específicos.
,,220,,Impuestos Especiales.
,,,220.00,Impuesto sobre el alcohol y bebidas derivadas.
,,,220.01,Impuesto sobre la cerveza.
,,,220.02,Impuesto sobre el vino y bebidas fermentadas.
,,,220.03,Impuesto sobre las labores del tabaco.
,,,220.04,Impuesto sobre hidrocarburos.
,,,220.05,Impuesto sobre determinados medios de transporte.
,,,220.06,Impuesto sobre productos intermedios.
,,,220.07,Impuesto sobre la energía.
,,,220.08,Impuesto sobre ventas minoristas de hidrocarburos.
,,,220.09,Exacción sobre la gasolina.
,26,,,Recargos sobre impuestos indirectos del Estado y de la Comunidad Autónoma.
,,260,,Sobre impuestos del Estado.
,,261,,Sobre impuestos de la Comunidad Autónoma.
,27,,,Recargos sobre impuestos indirectos de otros entes locales.
,,270,,Sobre impuestos de otros entes locales.
,28,,,Impuestos indirectos extinguidos.
,29,,,Otros impuestos indirectos.
,,290,,Impuesto sobre construcciones instalaciones y obras.
,,291,,Impuesto sobre gastos suntuarios (Cotos de caza y pesca).
,,292,,Arbitrio sobre importaciones y entregas de mercancías en Canarias (AIEM).
,,293,,Impuesto general indirecto canario (IGIC).
,,294,,Impuesto sobre la producción los servicios y la importación (IPSI) de Ceuta y Melilla.
,,295,,Impuesto sobre primas de seguros.
,,296,,Impuesto sobre transmisiones patrimoniales y actos jurídicos documentados.
,,299,,Otros Impuestos indirectos.
3,,,,Tasas precios públicos y otros ingresos.
,30,,,Tasas por la prestación de servicios públicos básicos.
,,300,,Servicio de abastecimiento de agua.
,,301,,Servicio de alcantarillado.
