çrea de gasto;Pol’tica;URI materia convenio
Deuda pœblica;Deuda pœblica;http://vocab.linkeddata.es/datosabiertos/kos/hacienda/presupuesto/programa-gasto
Servicios pœblicos b‡sicos;Seguridad y movilidad ciudadana;http://vocab.linkeddata.es/datosabiertos/kos/hacienda/presupuesto/programa-gasto
Servicios pœblicos b‡sicos;Vivienda y urbanismo;http://vocab.linkeddata.es/datosabiertos/kos/hacienda/presupuesto/programa-gasto
Servicios pœblicos b‡sicos;Bienestar comunitario;http://vocab.linkeddata.es/datosabiertos/kos/hacienda/presupuesto/programa-gasto
Servicios pœblicos b‡sicos;Medio ambiente;http://vocab.linkeddata.es/datosabiertos/kos/hacienda/presupuesto/programa-gasto
Actuaci—n de protecci—n y promoci—n social;Pensiones;http://vocab.linkeddata.es/datosabiertos/kos/hacienda/presupuesto/programa-gasto
Actuaci—n de protecci—n y promoci—n social;Otras prestaciones econ—micas a favor de empleados;http://vocab.linkeddata.es/datosabiertos/kos/hacienda/presupuesto/programa-gasto
Actuaci—n de protecci—n y promoci—n social;Servicios sociales y promoci—n social;http://vocab.linkeddata.es/datosabiertos/kos/hacienda/presupuesto/programa-gasto
Actuaci—n de protecci—n y promoci—n social;Fomento del empleo;http://vocab.linkeddata.es/datosabiertos/kos/hacienda/presupuesto/programa-gasto
Producci—n de bienes pœblicos de car‡cter preferente;Sanidad;http://vocab.linkeddata.es/datosabiertos/kos/hacienda/presupuesto/programa-gasto
Producci—n de bienes pœblicos de car‡cter preferente;Educaci—n;http://vocab.linkeddata.es/datosabiertos/kos/hacienda/presupuesto/programa-gasto
Producci—n de bienes pœblicos de car‡cter preferente;Cultura;http://vocab.linkeddata.es/datosabiertos/kos/hacienda/presupuesto/programa-gasto
Producci—n de bienes pœblicos de car‡cter preferente;Deporte;http://vocab.linkeddata.es/datosabiertos/kos/hacienda/presupuesto/programa-gasto
Actuaci—n de car‡cter econ—mico;Agricultura, ganader’a y pesca.;http://vocab.linkeddata.es/datosabiertos/kos/hacienda/presupuesto/programa-gasto
Actuaci—n de car‡cter econ—mico;Industria y energ’a;http://vocab.linkeddata.es/datosabiertos/kos/hacienda/presupuesto/programa-gasto
Actuaci—n de car‡cter econ—mico;Comercio, turismo y peque–as y medianas empresas;http://vocab.linkeddata.es/datosabiertos/kos/hacienda/presupuesto/programa-gasto
Actuaci—n de car‡cter econ—mico;Transporte pœblico;http://vocab.linkeddata.es/datosabiertos/kos/hacienda/presupuesto/programa-gasto
Actuaci—n de car‡cter econ—mico;Infraestructura;http://vocab.linkeddata.es/datosabiertos/kos/hacienda/presupuesto/programa-gasto
Actuaci—n de car‡cter econ—mico;Investigaci—n, desarrollo e innovaci—n;http://vocab.linkeddata.es/datosabiertos/kos/hacienda/presupuesto/programa-gasto
Actuaci—n de car‡cter econ—mico;Otras actuaciones de car‡cter econ—mico;http://vocab.linkeddata.es/datosabiertos/kos/hacienda/presupuesto/programa-gasto
Actuaciones de car‡cter general;îrganos de gobierno;http://vocab.linkeddata.es/datosabiertos/kos/hacienda/presupuesto/programa-gasto
Actuaciones de car‡cter general;Servicios de car‡cter general;http://vocab.linkeddata.es/datosabiertos/kos/hacienda/presupuesto/programa-gasto
Actuaciones de car‡cter general;Administraci—n financiera y tributaria;http://vocab.linkeddata.es/datosabiertos/kos/hacienda/presupuesto/programa-gasto
Actuaciones de car‡cter general;Transferencias a otras administraciones pœblicas;http://vocab.linkeddata.es/datosabiertos/kos/hacienda/presupuesto/programa-gasto
