tipoCorrecto,subtipo
administracion-estatal,ministerio
administracion-estatal,agencia-estatal
administracion-estatal,organismo-autonomo-estatal
administracion-estatal,sociedad-estatal
administracion-estatal,entidad-publica-empresarial-estatal
administracion-estatal,otros-organismos-publicos-del-estado
administracion-autonomica,consejeria
administracion-autonomica,organismo-autonomo-e-instituto-autonomico
administracion-autonomica,consorcio-autonomico
administracion-autonomica,entidad-publica-empresarial-autonomica
administracion-autonomica,sociedad-autonomica
administracion-autonomica,otros-organismos-publicos-de-titularidad-autonomica
administracion-local,ayuntamiento
administracion-local,entidad-local-menor
administracion-local,mancomunidad
administracion-local,comarca
administracion-local,vegueria
administracion-local,diputacion-provincial
administracion-local,cabildo
administracion-local,consell
administracion-local,area-metropolitana
administracion-local,organismo-autonomo-administrativo
administracion-local,sociedad-municipal
administracion-local,entidad-publica-empresarial-local
administracion-local,otros-organismos-de-titularidad-local
centro-educativo-universitario,universidad
centro-educativo-universitario,instituto-universitario
centro-educativo-universitario,otra-entidad-universitaria.
otras-entidades-de-derecho-publico,
centro-educativo-no-universitario,centro-publico
centro-educativo-no-universitario,centro-privado-concertado
centro-educativo-no-universitario,centro-privado
centro-educativo-no-universitario,otros-centros-educativos
asociacion-privada-sin-animo-de-lucro,
organizacion-no-gubernamental,
entidad-deportiva,federacion-deportiva
entidad-deportiva,club-deportivo
entidad-deportiva,sociedad-anonima-deportiva
entidad-deportiva,agrupacion-de-clubes
entidad-deportiva,otras-entidades-deportivas
entidad-financiera,
entidad-cultural-o-filantropica,
entidad-religiosa,
sociedad-mercantil,sociedad-anonima
sociedad-mercantil,sociedad-limitada
sociedad-mercantil,cooperativa
sociedad-mercantil,otras-entidades-mercantiles
fundacion,fundacion-de-derecho-publico
fundacion,fundacion-de-derecho-privado
fundacion,
colegio-asociacion-profesional-o-camara-de-comercio,colegio-profesional
colegio-asociacion-profesional-o-camara-de-comercio,consejo-general-de-colegios-profesionales
colegio-asociacion-profesional-o-camara-de-comercio,asociacion-profesional
colegio-asociacion-profesional-o-camara-de-comercio,camara-de-comercio
colegio-asociacion-profesional-o-camara-de-comercio,consejo-de-camaras-de-comercio
otras-organizaciones-de-caracter-privado,
personas-fisicas,
entidad-sin-personalidad-juridica-propia,comunidad-de-propietarios
entidad-sin-personalidad-juridica-propia,comunidad-de-bienes
entidad-sin-personalidad-juridica-propia,comunidad-de-herederos
entidad-sin-personalidad-juridica-propia,sociedad-civil
otros,
