tipo,subtipo,LabelEsp,
administracion-estatal,,Administración estatal,
,ministerio,Ministerio,
,agencia-estatal,Agencia estatal,
,organismo-autonomo-estatal ,Organismo autónomo estatal,
,sociedad-estatal,Sociedad estatal,
,entidad-publica-empresarial-estatal,Entidad pública empresarial estatal,
,otros-organismos-publicos-del-estado,Otros organismos públicos del Estado,
administracion-autonomica,,Administración autonómica,
,consejeria,Consejería,
,organismo-autonomo-e-instituto-autonomico,Organismo autónomo e instituto autonómico,
,consorcio-autonomico,Consorcio autonómico,
,entidad-publica-empresarial-autonomica,Entidad pública empresarial autonómica,
,sociedad-autonomica,Sociedad autonómica,
,otros-organismos-publicos-de-titularidad-autonomica,Otros organismos públicos de titularidad autonómica,
administracion-local,,Administración local,
,ayuntamiento,Ayuntamiento,
,entidad-local-menor,Entidad local menor,
,mancomunidad,Mancomunidad,
,comarca,Comarca,
,vegueria,Veguería,
,diputacion-provincial,Diputación provincial, 
,cabildo,Cabildo,
,consell,Consell,
,area-metropolitana,Área metropolitana,
,organismo-autonomo-administrativo,Organismo autónomo administrativo,
,sociedad-municipal,Sociedad municipal,
,entidad-publica-empresarial-local,Entidad pública empresarial local,
,otros-organismos-de-titularidad-local,Otros organismos de titularidad local,
centro-educativo-universitario,,Centro educatvo universitario,
,universidad,Universidad,
,instituto-universitario,Instituto universitario,
,otra-entidad-universitaria.,Otra entidad universitaria.,
otras-entidades-de-derecho-publico,,Otras entidades de Derecho Público,
centro-educativo-no-universitario,,Centro educativo no universitario,
,centro-publico,Centro público,
,centro-privado-concertado,Centro privado concertado,
,centro-privado,Centro privado,
,otros-centros-educativos,Otros centros educativos,
asociacion-privada-sin-animo-de-lucro,,Asociación privada sin ánimo de lucro,
organizacion-no-gubernamental,,Organización no gubernamental,
entidad-deportiva,,Entidad deportiva,
,federacion-deportiva,Federación deportiva,
,club-deportivo,Club deportivo,
,sociedad-anonima-deportiva,Sociedad anónima deportiva,
,agrupacion-de-clubes,Agrupación de clubes,
,otras-entidades-deportivas,Otras entidades deportivas,
entidad-financiera,,Entidad financiera,
entidad-cultural-o-filantropica,,Entidad cultural o filantrópica,
entidad-religiosa,,Entidad religiosa,
sociedad-mercantil,,Sociedad mercantil,
,sociedad-anonima,Sociedad anónima,
,sociedad-limitada,Sociedad limitada,
,cooperativa,Cooperativa,
,otras-entidades-mercantiles,Otras entidades mercantiles,
fundacion,,Fundación,
,fundacion-de-derecho-publico,Fundación de derecho público,
,fundacion-de-derecho-privado,Fundación de derecho privado,
colegio-asociacion-profesional-o-camara-de-comercio,,Colegio. Asociacion profesional o Cámara de comercio,
otras-organizaciones-de-caracter-privado,, ,
personas-fisicas,,Personas físicas,
entidad-sin-personalidad-juridica-propia,,Entidad sin personalidad jurídica propia,
,comunidad-de-propietarios,Comunidad de propietarios,
,comunidad-de-bienes,Comunidad de bienes,
,comunidad-de-herederos,Comunidad de herederos,
,sociedad-civil,Sociedad civil,
otros,,Otros,
