tipo,subtipo,denominacionEsp,denominacionEng,definicionEsp,definicionEng
dispositivo-medicion,,Dispositivo de medición,Measurement Device,Tipo de dispositivo de medición de tráfico. Estos dispositivos realizan mediciones. ,Type of traffic measurement device. These devices perform measurements.
,detector-bluetooth,Detector de bluetooth,Bluetooth detector,Un dispositivo que detecta dispositivos bluetooth instalados en los coches.,A device that detects bluetooth devices installed in cars. 
,estacion-vision-artificial,Estación de visión artificial,Artificial vision Station,Permite medir los parámetros característicos del tráfico utilizando técnicas de procesamiento digital de imágenes con un comportamiento similar al del ojo humano. Permite realizar la detección y seguimiento de todos los vehículos dentro de un área determinada aparte de tomar medidas localizadas en puntos concretos. Las variables que se pueden obtener son: Intensidad circulatoria; velocidad media; ocupación y composición del tráfico (vehículos ligeros y pesados). ,Allows the measurement of traffic parameras using digital image processing techniques with a behavior similar to that of the human eye. It allows the detection and tracking of all vehicles within a given area apart from taking measurements located at specific points. The variables that can be obtained are: traffic intensity; average speed; occupation and traffic composition (light and heavy vehicles).
,lazo-magnético,Lazo magnético,Magnetic loop,Dispositivo que detecta los cambios que se producen en un campo electromagnético cuando circula un vehículo (masa metálica) sobre un punto determinado de la calzada. Registra el número total de vehículos que pasan y pueden clasificarlos por su longitud; número de ejes y masas. ,A device that detects changes in an electromagnetic field when a vehicle (metal mass) is moving over a certain point on the road. It records the total number of vehicles passing by and can be classified by length; number of axes and mass.
,magnetometro,Magnetómetro,Magnetometer, Aparato que mide la inducción de un campo magnético en una dirección determinada.,A device that measures the induction of a magnetic field in a given direction.
,tubo-neumatico,Tubo neumático,Rubber detector,Detector de goma en forma de tubo cerrado que se coloca transversalmente a la calzada. En el otro extremo el tubo termina en una membrana metálica flexible. Cuando pasan sobre él las ruedas de los vehículos aumenta la presión del aire en su interior; moviendo la membrana metálica que cierra un contacto eléctrico. Este tipo de detector es muy útil en instalaciones provisionales o de corta duración. ,Rubber detector in the form of a closed tube which is placed transversely to the road. At the other end the tube ends in a flexible metal membrane. When the wheels of the vehicles pass over it the internal air pressure increases; moving the metal membrane and closing an electrical contact. This type of detector is very useful in temporary or short term installations.
equipo-control,,Equipo de control,Control device,Dispositivos que permiten controlar el tráfico.,Devices that allow traffic control.
,camara-control.trafico,Cámara de control de tráfico,Traffic control camera,Cámara fija de control de tráfico.,Fixed traffic control camera.
,control-acceso,Control de acceso,Access control,,
,estacionamiento-indebido,Estacionamiento indebido,Illegal parking,,
,lector-matricula,Lector de matrícula,License plata reader,Cámara de televisión que capta un fotograma de cada uno de los vehículos que circulan por el carril que está monitorizando al que se le aplica un OCR que permite identificar los caracteres que componen la matrícula.,A television camera that captures a frame of each of the vehicles circulating in the lane it is monitoring to which an OCR is applied to identify the characters that make up the license plate. 
,panel-mensaje-variable,Panel de mensaje variable,Variable message board,"Panel de mensaje variable que se utiliza para informar al usuario de las características del tráfico en la vía. La información mostrada engloba incidencias fortuitas (accidentes; vehículos averiados; etc.); estado del tráfico (retenciones); tiempos de recorrido; colas en los accesos; obras; campañas de tráfico; etc.
",Variable message board used to inform on characteristics of the traffic on the road. The information shown includes random incidents (accidents; broken vehicles; etc.); traffic status (delays); travel times; queues at access points; road works; traffic campaigns; etc. 
,radar,Radar,Radar,Equipo que controla la velocidad de los vehículos. A su vez estos podrían clasificarse de la siguiente manera: fijo; túnel; semáforo; inicio/fin tramo; etc. ,Equipment that controls vehicle speed. These in turn could be classified as follows: fixed; tunnel; traffic light; start/end of section; etc.
,regulador-semaforico-centralizado,Regulador semafórico centralizado,Centralized traffic light controller,,
,regulador-semaforico-no-centralizado,Regulador semafórico no centralizado,Non-centralized traffic light controllerr,,
